name	product_id	price	store	stock	description	rating	reviews	image	rollout_date	category_0	category_1
WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS	B43601	32.99	"Bonso Electronics International, Inc."	80	A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.	3.4	65	Women_SWIM_SLIDES_B43601_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired Lite Racer Shoes	EE8245	42.99	Eros International PLC	80	Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.	3.4	245	Men_CORE_SHOES_LOW_EE8245_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:blue
Women's adidas Running Duramo 9 Shoes	EE8042	55.99	Marine Petroleum Trust	80	"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."	3.4	13	Women_CORE_RUNNING_SHOES_LOW_EE8042_1.jpg	2020-04-13T15:06:16	shoes:size:38	shoes:color:blue
Women's adidas Sport Inspired Arcadeis Shoes	CL7429	42.99	"Fossil Group, Inc."	25	These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.	3.4	234	Women_CORE_RUNNING_SHOES_LOW_CL7429_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:blue
Women's adidas Sport Inspired Videll Shoes	CL7370	37.99	"Applied Industrial Technologies, Inc."	20	Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.	3.4	76	Women_CORE_RUNNING_SHOES_LOW_CL7370_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:blue
Women's adidas Running EnergyFalcon X Shoes	EE9946	65.99	Allstate Corporation (The)	20	"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles."	3.4	24	Women_CORE_RUNNING_SHOES_LOW_EE9946_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:blue
Women's adidas Sport Inspired Videll Shoes	CK9741	37.99	"Bonso Electronics International, Inc."	20	Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.	5.0	14	WOMEN_RUNNING_SHOES_MID_CK9741_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:blue
Women's adidas Running Hellion Z Shoes	CL7363	32.99	Western Asset Variable Rate Strategic Fund Inc.	20	Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.	5.0	54	Women_CORE_RUNNING_SHOES_LOW_CL7363_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:blue
Women's adidas Sport Inspired Videll Shoes	CL7372	37.99	Great Elm Capital Corp.	20	Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.	5.0	65	Women_CORE_RUNNING_SHOES_LOW_CL7372_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:blue
Women's adidas Sport Inspired Arcadeis Shoes	CL7430	42.99	Lakeland Financial Corporation	20	These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.	5.0	654	Women_CORE_RUNNING_SHOES_LOW_CL7430_1.jpg	2020-04-13T15:06:17	shoes:size:38	shoes:color:Yellow
Women's adidas Sport Inspired Cloudfoam Pure Shoes	F34485	55.99	"Saul Centers, Inc."	32	These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.	5.0	65	Women_CORE_SHOES_LOW_F34485_1.jpg	2020-04-13T15:06:18	shoes:size:38	shoes:color:blue
Women's adidas Running Hellion Z Shoes	CL7365	32.99	Apache Corporation	32	"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground."	5.0	245	Women_CORE_RUNNING_SHOES_LOW_CL7365_1.jpg	2020-04-13T15:06:18	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired Yking 2.0 Shoes	CL7373	32.99	"Evoke Pharma, Inc."	32	"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."	5.0	13	Women_CORE_RUNNING_SHOES_LOW_CL7373_1.jpg	2020-04-13T15:06:18	shoes:size:42	shoes:color:blue
Women's adidas Running Hellion Z Shoes	CL7364	32.99	"German American Bancorp, Inc."	32	"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground."	5.0	234	Women_CORE_RUNNING_SHOES_LOW_CL7364_1.jpg	2020-04-13T15:06:18	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired Yking 2.0 Shoes	CL7374	32.99	Western Asset Variable Rate Strategic Fund Inc.	32	"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."	3.4	76	Women_CORE_RUNNING_SHOES_LOW_CL7374_1.jpg	2020-04-13T15:06:18	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired RunFalcon Shoes	EE8167	55.99	Great Elm Capital Corp.	32	"Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support."	3.4	65	Women_CORE_RUNNING_SHOES_LOW_EE8167_1.jpg	2020-04-13T15:06:18	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired Quickspike Shoes	CL7410	39.99	Lakeland Financial Corporation	32	"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."	3.4	245	Women_CORE_RUNNING_SHOES_LOW_CL7410_1.jpg	2020-04-13T15:06:18	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired Blaze Runner Shoes	CL7401	55.99	"Saul Centers, Inc."	32	Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.	3.4	13	Women_CORE_RUNNING_SHOES_LOW_CL7401_1.jpg	2020-04-13T15:06:18	shoes:size:36	shoes:color:blue
Women's adidas Sport Inspired Lite Racer CLN Shoes	EE8219	45.99	Apache Corporation	32	"Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day."	3.4	234	Women_CORE_SHOES_LOW_EE8219_1.jpg	2020-04-13T15:06:18	shoes:size:36	shoes:color:blue
Women's adidas Sport Inspired Blaze Runner Shoes	CL7402	55.99	"Evoke Pharma, Inc."	32	Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.	3.4	76	Women_CORE_RUNNING_SHOES_LOW_CL7402_1.jpg	2020-04-13T15:06:18	shoes:size:36	shoes:color:blue
Women's adidas Nova Run X Shoes	EE9929	85.99	Eros International PLC	87	"Being comfortable on your run is just as important as winning the race. These shoes combine soft, supportive Cloudfoam cushioning with a durable Adiwear outsole for comprehensive control and an energised ride. The mesh upper features a foot-hugging, no-sew fit for a locked-in feel."	4.0	24	Women_CORE_RUNNING_SHOES_LOW_EE9929_1.jpg	2020-04-13T15:06:18	shoes:size:36	shoes:color:blue
Women's adidas Sport Inspired Questar Flow Shoes	EE8221	65.99	Marine Petroleum Trust	87	Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.	4.0	14	Women_CORE_SHOES_LOW_EE8221_1.jpg	2020-04-13T15:06:18	shoes:size:36	shoes:color:Yellow
Women's adidas Sport Inspired Questar Flow Shoes	EE8224	65.99	"Fossil Group, Inc."	87	Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.	4.0	54	Women_CORE_SHOES_LOW_EE8224_1.jpg	2020-04-13T15:06:18	shoes:size:36	shoes:color:blue
Women's adidas Running EnergyFalcon X Shoes	EE9941	65.99	"Applied Industrial Technologies, Inc."	31	"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles."	4.0	65	Women_CORE_RUNNING_SHOES_LOW_EE9941_1.jpg	2020-04-13T15:06:19	shoes:size:36	shoes:color:blue
Women's adidas Running Asweego Shoes	EE8522	75.99	Allstate Corporation (The)	87	Shoes with flexibility and responsiveness for multisport training. These shoes have a knit textile upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain.	4.0	654	Women_CORE_RUNNING_SHOES_LOW_EE8522_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Women's adidas Running Sooraj Shoes	EE9932	55.99	"Bonso Electronics International, Inc."	87	"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes."	0.0	24	Women_CORE_RUNNING_SHOES_LOW_EE9932_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Women's adidas Sport Inspired Questar Ride Shoes	EE8375	69.99	Western Asset Variable Rate Strategic Fund Inc.	32	"Inspired by modern tech runners, these women's shoes step out with unexpected style. A two-tone mesh upper keeps the feel flexible and mixes with a sculpted Cloudfoam midsole and contrast heel counter."	3.4	14	Women_CORE_RUNNING_SHOES_LOW_EE8375_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Men's adidas Sport Inspired Run 70s Shoes	EE9798	55.99	Great Elm Capital Corp.	335	"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off."	3.4	54	Women_CORE_SHOES_LOW_EE9798_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Women's adidas Running Asweerun Shoes	EE8502	49.99	Lakeland Financial Corporation	32	"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step."	3.4	65	Women_CORE_RUNNING_SHOES_LOW_EE8502_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Women's adidas Sport Inspired Archivo Shoes	EF0450	49.99	"Saul Centers, Inc."	32	A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.	3.4	654	Women_CORE_SHOES_LOW_EF0450_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Women's Sport Inspired Yking 2.0 Shoes	CL7375	32.99	Apache Corporation	32	"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."	3.4	45	Women_CORE_RUNNING_SHOES_LOW_CL7375_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
Women's adidas Sport Inspired Archivo Shoes	EF0446	49.99	"Evoke Pharma, Inc."	32	A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.	3.4	786	Women_CORE_SHOES_LOW_EF0446_1.jpg	2020-04-13T15:06:19	shoes:size:42	shoes:color:Red
